fecha_corte,vigencia,banco,operaciones,monto_usd,tco
2026-08-03,2026-08-04,BANCO DE CRÉDITO,142,1976995,12.10
2026-08-03,2026-08-04,BANCO DE LA NACIÓN ARGENTINA,31,103665,12.12
2026-08-03,2026-08-04,BANCO ECONÓMICO,60,1252144,11.97
2026-08-03,2026-08-04,BANCO FIE,40,55907,12.03
2026-08-03,2026-08-04,BANCO FORTALEZA,7,1504777,12.31
2026-08-03,2026-08-04,BANCO GANADERO,116,5863479,12.07
2026-08-03,2026-08-04,BANCO MERCANTIL SANTA CRUZ,378,3372165,12.06
2026-08-03,2026-08-04,BANCO NACIONAL DE BOLIVIA,467,2757615,12.05
2026-08-03,2026-08-04,BANCO PRODEM,36,43765,12.03
2026-08-03,2026-08-04,BANCO PYME DE LA COMUNIDAD,6,6283,12.13
2026-08-03,2026-08-04,BANCO PYME ECOFUTURO,11,26160,11.73
2026-08-03,2026-08-04,BANCO SOLIDARIO,35,1577317,12.14
2026-08-03,2026-08-04,BANCO UNION,313,5433130,12.14
2026-08-03,2026-08-04,TOTAL BANCOS,1708,26814902,12.08
2026-08-04,2026-08-05,BANCO BISA,126,106804901,12.03
2026-08-04,2026-08-05,BANCO DE CRÉDITO,374,1990108,11.97
2026-08-04,2026-08-05,BANCO DE LA NACIÓN ARGENTINA,11,2533,11.90
2026-08-04,2026-08-05,BANCO ECONÓMICO,54,4143980,11.92
2026-08-04,2026-08-05,BANCO FIE,25,1066948,12.19
2026-08-04,2026-08-05,BANCO FORTALEZA,8,337142,12.06
2026-08-04,2026-08-05,BANCO GANADERO,769,13239973,11.98
2026-08-04,2026-08-05,BANCO MERCANTIL SANTA CRUZ,445,5251692,11.98
2026-08-04,2026-08-05,BANCO NACIONAL DE BOLIVIA,541,14858962,12.02
2026-08-04,2026-08-05,BANCO PRODEM,72,160064,11.98
2026-08-04,2026-08-05,BANCO PYME DE LA COMUNIDAD,18,26452,12.08
2026-08-04,2026-08-05,BANCO PYME ECOFUTURO,9,14353,11.68
2026-08-04,2026-08-05,BANCO SOLIDARIO,56,3326125,12.00
2026-08-04,2026-08-05,BANCO UNION,500,8717523,12.09
2026-08-04,2026-08-05,TOTAL BANCOS,3008,159940755,12.02
2026-08-05,2026-08-06 al 2026-08-10,BANCO BISA,159,30301395,11.86
2026-08-05,2026-08-06 al 2026-08-10,BANCO DE CRÉDITO,409,1650749,11.80
2026-08-05,2026-08-06 al 2026-08-10,BANCO DE LA NACIÓN ARGENTINA,20,13769,11.82
2026-08-05,2026-08-06 al 2026-08-10,BANCO ECONÓMICO,64,1960611,11.88
2026-08-05,2026-08-06 al 2026-08-10,BANCO FIE,24,213463,12.05
2026-08-05,2026-08-06 al 2026-08-10,BANCO FORTALEZA,16,105065,11.87
2026-08-05,2026-08-06 al 2026-08-10,BANCO GANADERO,197,13107514,11.87
2026-08-05,2026-08-06 al 2026-08-10,BANCO MERCANTIL SANTA CRUZ,287,6707597,11.87
2026-08-05,2026-08-06 al 2026-08-10,BANCO NACIONAL DE BOLIVIA,554,4040013,11.75
2026-08-05,2026-08-06 al 2026-08-10,BANCO PRODEM,85,288044,11.82
2026-08-05,2026-08-06 al 2026-08-10,BANCO PYME DE LA COMUNIDAD,12,58829,12.02
2026-08-05,2026-08-06 al 2026-08-10,BANCO PYME ECOFUTURO,5,2714,11.62
2026-08-05,2026-08-06 al 2026-08-10,BANCO SOLIDARIO,49,1143658,11.85
2026-08-05,2026-08-06 al 2026-08-10,BANCO UNION,163,889618,11.92
2026-08-05,2026-08-06 al 2026-08-10,TOTAL BANCOS,2044,60483040,11.86
2026-08-10,2026-08-11,BANCO BISA,120,19752071,11.76
2026-08-10,2026-08-11,BANCO DE CRÉDITO,486,2235624,11.67
2026-08-10,2026-08-11,BANCO DE LA NACIÓN ARGENTINA,22,11516,11.79
2026-08-10,2026-08-11,BANCO ECONÓMICO,63,48413,11.10
2026-08-10,2026-08-11,BANCO FIE,18,347302,11.76
2026-08-10,2026-08-11,BANCO FORTALEZA,11,30067,11.74
2026-08-10,2026-08-11,BANCO GANADERO,278,26287525,11.82
2026-08-10,2026-08-11,BANCO MERCANTIL SANTA CRUZ,220,9453503,11.77
2026-08-10,2026-08-11,BANCO NACIONAL DE BOLIVIA,533,2739404,11.69
2026-08-10,2026-08-11,BANCO PRODEM,97,349500,11.66
2026-08-10,2026-08-11,BANCO PYME DE LA COMUNIDAD,15,47533,11.86
2026-08-10,2026-08-11,BANCO PYME ECOFUTURO,4,3316,11.46
2026-08-10,2026-08-11,BANCO SOLIDARIO,73,1154983,11.59
2026-08-10,2026-08-11,BANCO UNION,96,248412,11.36
2026-08-10,2026-08-11,TOTAL BANCOS,2036,62709169,11.77
2026-08-11,2026-08-12,BANCO BISA,193,72570741,11.73
2026-08-11,2026-08-12,BANCO DE CRÉDITO,360,1028144,11.60
2026-08-11,2026-08-12,BANCO DE LA NACIÓN ARGENTINA,3,580,11.27
2026-08-11,2026-08-12,BANCO ECONÓMICO,68,718615,11.65
2026-08-11,2026-08-12,BANCO FIE,19,909124,11.71
2026-08-11,2026-08-12,BANCO FORTALEZA,8,148428,11.60
2026-08-11,2026-08-12,BANCO GANADERO,178,11845324,11.69
2026-08-11,2026-08-12,BANCO MERCANTIL SANTA CRUZ,220,1133686,11.54
2026-08-11,2026-08-12,BANCO NACIONAL DE BOLIVIA,291,910171,11.41
2026-08-11,2026-08-12,BANCO PRODEM,98,409921,11.57
2026-08-11,2026-08-12,BANCO PYME DE LA COMUNIDAD,8,8301,11.77
2026-08-11,2026-08-12,BANCO PYME ECOFUTURO,1,200,11.37
2026-08-11,2026-08-12,BANCO SOLIDARIO,44,5907069,11.76
2026-08-11,2026-08-12,BANCO UNION,62,665315,10.73
2026-08-11,2026-08-12,TOTAL BANCOS,1553,96255618,11.71
2026-08-12,2026-08-13,BANCO BISA,126,12318126,11.69
2026-08-12,2026-08-13,BANCO DE CRÉDITO,369,5910414,11.69
2026-08-12,2026-08-13,BANCO DE LA NACIÓN ARGENTINA,2,1350,11.21
2026-08-12,2026-08-13,BANCO ECONÓMICO,73,531240,11.50
2026-08-12,2026-08-13,BANCO FIE,14,187612,11.67
2026-08-12,2026-08-13,BANCO FORTALEZA,18,2471870,11.61
2026-08-12,2026-08-13,BANCO GANADERO,276,8382354,11.63
2026-08-12,2026-08-13,BANCO MERCANTIL SANTA CRUZ,153,5048105,11.71
2026-08-12,2026-08-13,BANCO NACIONAL DE BOLIVIA,273,3082805,11.56
2026-08-12,2026-08-13,BANCO PRODEM,69,271193,11.41
2026-08-12,2026-08-13,BANCO PYME DE LA COMUNIDAD,8,8462,11.47
2026-08-12,2026-08-13,BANCO PYME ECOFUTURO,,,
2026-08-12,2026-08-13,BANCO SOLIDARIO,32,647140,11.61
2026-08-12,2026-08-13,BANCO UNION,30,51181,10.67
2026-08-12,2026-08-13,TOTAL BANCOS,1443,38911851,11.66
2026-08-13,2026-08-14,BANCO BISA,128,12770296,11.64
2026-08-13,2026-08-14,BANCO DE CRÉDITO,265,4781021,11.63
2026-08-13,2026-08-14,BANCO DE LA NACIÓN ARGENTINA,5,145788,11.55
2026-08-13,2026-08-14,BANCO ECONÓMICO,87,1144155,11.42
2026-08-13,2026-08-14,BANCO FIE,16,77182,11.61
2026-08-13,2026-08-14,BANCO FORTALEZA,15,212246,11.54
2026-08-13,2026-08-14,BANCO GANADERO,184,5781733,11.59
2026-08-13,2026-08-14,BANCO MERCANTIL SANTA CRUZ,184,10821109,11.66
2026-08-13,2026-08-14,BANCO NACIONAL DE BOLIVIA,226,2871760,11.57
2026-08-13,2026-08-14,BANCO PRODEM,43,177954,11.36
2026-08-13,2026-08-14,BANCO PYME DE LA COMUNIDAD,6,13401,11.51
2026-08-13,2026-08-14,BANCO PYME ECOFUTURO,2,1500,11.26
2026-08-13,2026-08-14,BANCO SOLIDARIO,36,3281690,11.60
2026-08-13,2026-08-14,BANCO UNION,28,18225,10.16
2026-08-13,2026-08-14,TOTAL BANCOS,1225,42098061,11.62
2026-08-14,2026-08-17,BANCO BISA,123,12800668,11.56
2026-08-14,2026-08-17,BANCO DE CRÉDITO,317,3040586,11.62
2026-08-14,2026-08-17,BANCO DE LA NACIÓN ARGENTINA,11,32075,11.46
2026-08-14,2026-08-17,BANCO ECONÓMICO,54,782249,11.52
2026-08-14,2026-08-17,BANCO FIE,28,1086452,11.63
2026-08-14,2026-08-17,BANCO FORTALEZA,16,241180,11.54
2026-08-14,2026-08-17,BANCO GANADERO,170,11167635,11.59
2026-08-14,2026-08-17,BANCO MERCANTIL SANTA CRUZ,171,5524586,11.59
2026-08-14,2026-08-17,BANCO NACIONAL DE BOLIVIA,251,1159765,11.47
2026-08-14,2026-08-17,BANCO PRODEM,24,50458,11.32
2026-08-14,2026-08-17,BANCO PYME DE LA COMUNIDAD,,,
2026-08-14,2026-08-17,BANCO PYME ECOFUTURO,1,1,11.22
2026-08-14,2026-08-17,BANCO SOLIDARIO,32,370467,11.51
2026-08-14,2026-08-17,BANCO UNION,25,59954,11.52
2026-08-14,2026-08-17,TOTAL BANCOS,1223,36316075,11.58
2026-08-17,2026-08-18,BANCO BISA,64,6497350,11.56
2026-08-17,2026-08-18,BANCO DE CRÉDITO,371,2323703,11.59
2026-08-17,2026-08-18,BANCO DE LA NACIÓN ARGENTINA,29,2332,11.08
2026-08-17,2026-08-18,BANCO ECONÓMICO,52,333053,11.48
2026-08-17,2026-08-18,BANCO FIE,31,240087,11.49
2026-08-17,2026-08-18,BANCO FORTALEZA,7,335475,11.58
2026-08-17,2026-08-18,BANCO GANADERO,167,12645125,11.55
2026-08-17,2026-08-18,BANCO MERCANTIL SANTA CRUZ,162,3791902,11.58
2026-08-17,2026-08-18,BANCO NACIONAL DE BOLIVIA,259,2431329,11.48
2026-08-17,2026-08-18,BANCO PRODEM,24,6305,11.28
2026-08-17,2026-08-18,BANCO PYME DE LA COMUNIDAD,2,247,11.50
2026-08-17,2026-08-18,BANCO PYME ECOFUTURO,3,251,11.18
2026-08-17,2026-08-18,BANCO SOLIDARIO,43,613136,11.60
2026-08-17,2026-08-18,BANCO UNION,28,58751,10.50
2026-08-17,2026-08-18,TOTAL BANCOS,1242,29279047,11.55
2026-08-18,2026-08-19,BANCO BISA,93,51436770,11.51
2026-08-18,2026-08-19,BANCO DE CRÉDITO,314,1522230,11.52
2026-08-18,2026-08-19,BANCO DE LA NACIÓN ARGENTINA,9,2763,11.05
2026-08-18,2026-08-19,BANCO ECONÓMICO,41,403708,11.44
2026-08-18,2026-08-19,BANCO FIE,17,48587,11.38
2026-08-18,2026-08-19,BANCO FORTALEZA,8,124681,11.55
2026-08-18,2026-08-19,BANCO GANADERO,168,6293207,11.54
2026-08-18,2026-08-19,BANCO MERCANTIL SANTA CRUZ,167,4160935,11.52
2026-08-18,2026-08-19,BANCO NACIONAL DE BOLIVIA,198,2002197,11.50
2026-08-18,2026-08-19,BANCO PRODEM,12,12065,11.25
2026-08-18,2026-08-19,BANCO PYME DE LA COMUNIDAD,2,1940,11.15
2026-08-18,2026-08-19,BANCO PYME ECOFUTURO,3,2551,11.15
2026-08-18,2026-08-19,BANCO SOLIDARIO,34,3386444,11.52
2026-08-18,2026-08-19,BANCO UNION,37,61103,10.50
2026-08-18,2026-08-19,TOTAL BANCOS,1103,69459180,11.52
2026-08-19,2026-08-20,BANCO BISA,124,12808358,11.51
2026-08-19,2026-08-20,BANCO DE CRÉDITO,332,2130880,11.52
2026-08-19,2026-08-20,BANCO DE LA NACIÓN ARGENTINA,12,17136,11.36
2026-08-19,2026-08-20,BANCO ECONÓMICO,30,990300,11.53
2026-08-19,2026-08-20,BANCO FIE,28,217172,11.51
2026-08-19,2026-08-20,BANCO FORTALEZA,8,738265,11.54
2026-08-19,2026-08-20,BANCO GANADERO,139,4172245,11.53
2026-08-19,2026-08-20,BANCO MERCANTIL SANTA CRUZ,172,11919870,11.53
2026-08-19,2026-08-20,BANCO NACIONAL DE BOLIVIA,235,309847,11.36
2026-08-19,2026-08-20,BANCO PRODEM,15,4698,11.22
2026-08-19,2026-08-20,BANCO PYME DE LA COMUNIDAD,3,10000,11.12
2026-08-19,2026-08-20,BANCO PYME ECOFUTURO,2,180,11.12
2026-08-19,2026-08-20,BANCO SOLIDARIO,42,898169,11.51
2026-08-19,2026-08-20,BANCO UNION,19,80369,11.46
2026-08-19,2026-08-20,TOTAL BANCOS,1161,34297489,11.52
2026-08-20,2026-08-21,BANCO BISA,93,7939410,11.52
2026-08-20,2026-08-21,BANCO DE CRÉDITO,345,3532604,11.53
2026-08-20,2026-08-21,BANCO DE LA NACIÓN ARGENTINA,16,120321,11.48
2026-08-20,2026-08-21,BANCO ECONÓMICO,46,1492326,11.56
2026-08-20,2026-08-21,BANCO FIE,20,14575,11.32
2026-08-20,2026-08-21,BANCO FORTALEZA,9,98086,11.47
2026-08-20,2026-08-21,BANCO GANADERO,142,7434731,11.52
2026-08-20,2026-08-21,BANCO MERCANTIL SANTA CRUZ,177,3748640,11.45
2026-08-20,2026-08-21,BANCO NACIONAL DE BOLIVIA,250,5039002,11.51
2026-08-20,2026-08-21,BANCO PRODEM,18,13867,11.22
2026-08-20,2026-08-21,BANCO PYME DE LA COMUNIDAD,5,1104,11.12
2026-08-20,2026-08-21,BANCO PYME ECOFUTURO,,,
2026-08-20,2026-08-21,BANCO SOLIDARIO,27,3189295,11.57
2026-08-20,2026-08-21,BANCO UNION,27,87131,11.45
2026-08-20,2026-08-21,TOTAL BANCOS,1175,32711090,11.52
